OldData,OldDat2,Strain,Rep,AssayTemp,AssayLight,TargetOchConc,Pred,D1Date,VolOch,VolK,X,D1OchPop,D2OchPop,D3OchPop,D4OchPop,X.1,D1PredPop,D2PredPop,D3PredPop,D4PredPop,X.2,Scope,Run
,,584,C,24,100,25000,O.marina,1/30/24,NA,NA,NA,19201,5470,4103,11954,NA,1050,1170,1130,1420,NA,MD,1
,,584,C,24,100,50000,O.marina,1/30/24,NA,NA,NA,43073,11168,13731,23342,NA,940,1570,1010,1270,NA,MD,1
,,584,C,24,100,75000,O.marina,1/30/24,NA,NA,NA,63298,21650,10768,30895,NA,1160,1690,1410,1630,NA,MD,1
,,584,C,24,100,100000,O.marina,1/30/24,NA,NA,NA,91672,32588,19827,33875,NA,820,940,1170,1890,NA,MD,1
,,584,C,24,100,125000,O.marina,1/30/24,NA,NA,NA,109905,38288,33391,55826,NA,1010,1160,1260,2130,NA,MD,1
,,590,A,24,100,0,Control,2/6/24,NA,NA,NA,570,741,342,1025,NA,0,0,0,0,NA,MD,1
,,590,A,24,100,25000,Control,2/6/24,NA,NA,NA,4558,5300,5355,6267,NA,0,0,0,0,NA,MD,1
,,590,A,24,100,50000,Control,2/6/24,NA,NA,NA,25983,22788,20339,15953,NA,0,0,0,0,NA,MD,1
,,590,A,24,100,75000,Control,2/6/24,NA,NA,NA,31677,28089,24498,23644,NA,0,0,0,0,NA,MD,1
,,590,A,24,100,100000,Control,2/6/24,NA,NA,NA,34355,25694,32361,30365,NA,0,0,0,0,NA,MD,1
,,590,A,24,100,125000,Control,2/6/24,NA,NA,NA,46675,36066,31049,60111,NA,0,0,0,0,NA,MD,1
,,590,A,24,100,0,O.marina,2/6/24,NA,NA,NA,1254,969,456,969,NA,610,660,460,380,NA,MD,1
,,590,A,24,100,25000,O.marina,2/6/24,NA,NA,NA,4673,2678,2108,1425,NA,840,1020,400,610,NA,MD,1
,,590,A,24,100,50000,O.marina,2/6/24,NA,NA,NA,25413,9230,8946,10199,NA,920,750,660,710,NA,MD,1
,,590,A,24,100,75000,O.marina,2/6/24,NA,NA,NA,31909,11225,9857,6210,NA,910,880,800,860,NA,MD,1
,,590,A,24,100,100000,O.marina,2/6/24,NA,NA,NA,39088,12479,11169,4615,NA,710,820,830,590,NA,MD,1
,,590,A,24,100,125000,O.marina,2/6/24,NA,NA,NA,45015,17264,17891,5583,NA,680,990,680,420,NA,MD,1
,,590,B,24,100,0,Control,2/6/24,NA,NA,NA,741,918,969,1368,NA,0,0,0,0,NA,MD,1
,,590,B,24,100,25000,Control,2/6/24,NA,NA,NA,20456,19200,14869,19027,NA,0,0,0,0,NA,MD,1
,,590,B,24,100,50000,Control,2/6/24,NA,NA,NA,25467,23529,22334,14983,NA,0,0,0,0,NA,MD,1
,,590,B,24,100,75000,Control,2/6/24,NA,NA,NA,31506,19142,22731,33842,NA,0,0,0,0,NA,MD,1
,,590,B,24,100,100000,Control,2/6/24,NA,NA,NA,29626,23700,20053,40688,NA,0,0,0,0,NA,MD,1
,,590,B,24,100,125000,Control,2/6/24,NA,NA,NA,42160,29853,35671,49050,NA,0,0,0,0,NA,MD,1
,,590,B,24,100,0,O.marina,2/6/24,NA,NA,NA,1262,1311,570,1311,NA,670,630,770,520,NA,MD,1
,,590,B,24,100,25000,O.marina,2/6/24,NA,NA,NA,17722,7123,5072,3990,NA,640,790,610,780,NA,MD,1
,,590,B,24,100,50000,O.marina,2/6/24,NA,NA,NA,19373,8832,8205,12990,NA,880,910,800,590,NA,MD,1
,,590,B,24,100,75000,O.marina,2/6/24,NA,NA,NA,27464,10086,8604,8717,NA,710,830,900,790,NA,MD,1
,,590,B,24,100,100000,O.marina,2/6/24,NA,NA,NA,24899,7692,12078,14360,NA,570,740,600,460,NA,MD,1
,,590,B,24,100,125000,O.marina,2/6/24,NA,NA,NA,37383,13731,10085,6381,NA,600,980,880,630,NA,MD,1
,,590,C,24,100,0,Control,2/6/24,NA,NA,NA,969,402,1026,684,NA,0,0,0,0,NA,MD,1
,,590,C,24,100,25000,Control,2/6/24,NA,NA,NA,19715,12990,16236,21876,NA,0,0,0,0,NA,MD,1
,,590,C,24,100,50000,Control,2/6/24,NA,NA,NA,23702,21421,22217,23300,NA,0,0,0,0,NA,MD,1
,,590,C,24,100,75000,Control,2/6/24,NA,NA,NA,27979,25812,24725,29909,NA,0,0,0,0,NA,MD,1
,,590,C,24,100,100000,Control,2/6/24,NA,NA,NA,25351,10596,25693,34922,NA,0,0,0,0,NA,MD,1
,,590,C,24,100,125000,Control,2/6/24,NA,NA,NA,27863,22332,31560,36294,NA,0,0,0,0,NA,MD,1
,,590,C,24,100,0,O.marina,2/6/24,NA,NA,NA,798,684,456,399,NA,600,580,480,760,NA,MD,1
,,590,C,24,100,25000,O.marina,2/6/24,NA,NA,NA,18177,2621,13732,6666,NA,900,810,450,640,NA,MD,1
,,590,C,24,100,50000,O.marina,2/6/24,NA,NA,NA,23533,8376,9857,7863,NA,630,810,800,620,NA,MD,1
,,590,C,24,100,75000,O.marina,2/6/24,NA,NA,NA,22222,6837,11053,6096,NA,620,1090,1190,960,NA,MD,1
,,590,C,24,100,100000,O.marina,2/6/24,NA,NA,NA,20228,5926,6723,5583,NA,690,1090,1325,1070,NA,MD,1
,,590,C,24,100,125000,O.marina,2/6/24,NA,NA,NA,30142,5697,10198,4045,NA,1460,1100,870,1350,NA,MD,1
,,1148,A,24,100,0,Control,2/6/24,NA,NA,NA,969,1424,1823,2621,NA,0,0,0,0,NA,MD,1
,,1148,A,24,100,25000,Control,2/6/24,NA,NA,NA,8717,7350,9636,13959,NA,0,0,0,0,NA,MD,1
,,1148,A,24,100,50000,Control,2/6/24,NA,NA,NA,38802,37772,108491,74923,NA,0,0,0,0,NA,MD,1
,,1148,A,24,100,75000,Control,2/6/24,NA,NA,NA,45305,30483,64264,86706,NA,0,0,0,0,NA,MD,1
,,1148,A,24,100,100000,Control,2/6/24,NA,NA,NA,29000,25237,47687,41985,NA,0,0,0,0,NA,MD,1
,,1148,A,24,100,125000,Control,2/6/24,NA,NA,NA,84551,69510,103354,118953,NA,0,0,0,0,NA,MD,1
,,1148,A,24,100,0,O.marina,2/6/24,NA,NA,NA,741,741,456,969,NA,1150,960,1000,1190,NA,MD,1
,,1148,A,24,100,25000,O.marina,2/6/24,NA,NA,NA,7180,2279,2052,2051,NA,1000,1340,890,1288,NA,MD,1
,,1148,A,24,100,50000,O.marina,2/6/24,NA,NA,NA,38974,11339,17436,8832,NA,1090,1130,890,860,NA,MD,1
,,1148,A,24,100,75000,O.marina,2/6/24,NA,NA,NA,41541,13219,13674,14644,NA,1080,1380,1213,980,NA,MD,1
,,1148,A,24,100,100000,O.marina,2/6/24,NA,NA,NA,21882,6895,7921,11056,NA,1070,1100,1190,1070,NA,MD,1
,,1148,A,24,100,125000,O.marina,2/6/24,NA,NA,NA,74128,22447,29059,20172,NA,1070,1350,1188,825,NA,MD,1
,,1148,B,24,100,0,Control,2/6/24,NA,NA,NA,741,2165,2336,10540,NA,0,0,0,0,NA,MD,1
,,1148,B,24,100,25000,Control,2/6/24,NA,NA,NA,10085,8831,10654,14357,NA,0,0,0,0,NA,MD,1
,,1148,B,24,100,50000,Control,2/6/24,NA,NA,NA,41372,25807,50764,65800,NA,0,0,0,0,NA,MD,1
,,1148,B,24,100,75000,Control,2/6/24,NA,NA,NA,37146,25921,47455,58508,NA,0,0,0,0,NA,MD,1
,,1148,B,24,100,100000,Control,2/6/24,NA,NA,NA,31963,21363,33961,31560,NA,0,0,0,0,NA,MD,1
,,1148,B,24,100,125000,Control,2/6/24,NA,NA,NA,72270,53050,103746,131380,NA,0,0,0,0,NA,MD,1
,,1148,B,24,100,0,O.marina,2/6/24,NA,NA,NA,1083,1254,57,570,NA,1070,730,690,620,NA,MD,1
,,1148,B,24,100,25000,O.marina,2/6/24,NA,NA,NA,5812,1880,2222,1710,NA,1660,1100,940,1210,NA,MD,1
,,1148,B,24,100,50000,O.marina,2/6/24,NA,NA,NA,32705,7236,20512,10484,NA,1000,830,1150,980,NA,MD,1
,,1148,B,24,100,75000,O.marina,2/6/24,NA,NA,NA,34016,7977,13959,6894,NA,1270,1275,930,1588,NA,MD,1
,,1148,B,24,100,100000,O.marina,2/6/24,NA,NA,NA,23076,5185,4786,6667,NA,1110,1089,830,1070,NA,MD,1
,,1148,B,24,100,125000,O.marina,2/6/24,NA,NA,NA,78002,18804,28544,14301,NA,1370,1400,930,780,NA,MD,1
,,1148,C,24,100,0,Control,2/6/24,NA,NA,NA,1196,684,570,456,NA,0,0,0,0,NA,MD,1
,,1148,C,24,100,25000,Control,2/6/24,NA,NA,NA,6894,5755,11453,39375,NA,0,0,0,0,NA,MD,1
,,1148,C,24,100,50000,Control,2/6/24,NA,NA,NA,39310,30421,41131,51843,NA,0,0,0,0,NA,MD,1
,,1148,C,24,100,75000,Control,2/6/24,NA,NA,NA,41821,49109,38056,60898,NA,0,0,0,0,NA,MD,1
,,1148,C,24,100,100000,Control,2/6/24,NA,NA,NA,24834,20623,28713,49563,NA,0,0,0,0,NA,MD,1
,,1148,C,24,100,125000,Control,2/6/24,NA,NA,NA,53780,43637,52867,46969,NA,0,0,0,0,NA,MD,1
,,1148,C,24,100,0,O.marina,2/6/24,NA,NA,NA,1026,1311,798,969,NA,940,1250,1030,1100,NA,MD,1
,,1148,C,24,100,25000,O.marina,2/6/24,NA,NA,NA,6724,1710,1596,1482,NA,1040,1240,950,810,NA,MD,1
,,1148,C,24,100,50000,O.marina,2/6/24,NA,NA,NA,38403,10372,5756,5755,NA,1070,1260,1000,970,NA,MD,1
,,1148,C,24,100,75000,O.marina,2/6/24,NA,NA,NA,35098,10541,13792,5642,NA,1400,1020,889,1470,NA,MD,1
,,1148,C,24,100,100000,O.marina,2/6/24,NA,NA,NA,62289,16982,13677,37157,NA,1137,1220,940,1550,NA,MD,1
,,1148,C,24,100,125000,O.marina,2/6/24,NA,NA,NA,81323,36922,36579,55731,NA,1300,1070,930,2500,NA,MD,1
Y,Y,1150,A,24,100,0,Control,2/13/24,NA,NA,NA,285,57,5413,2639,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,25000,Control,2/13/24,NA,NA,NA,9172,8432,4045,9514,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,50000,Control,2/13/24,NA,NA,NA,8489,5868,8319,9628,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,75000,Control,2/13/24,NA,NA,NA,34074,22674,37313,26320,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,100000,Control,2/13/24,NA,NA,NA,55149,44551,22220,77259,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,125000,Control,2/13/24,NA,NA,NA,63699,48029,285,64665,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,0,O.marina,2/13/24,NA,NA,NA,1595,684,2336,3533,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,25000,O.marina,2/13/24,NA,NA,NA,7863,2564,2507,10147,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,50000,O.marina,2/13/24,NA,NA,NA,11111,3590,6894,12764,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,75000,O.marina,2/13/24,NA,NA,NA,27521,9173,18458,14588,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,100000,O.marina,2/13/24,NA,NA,NA,52022,24385,38519,64560,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,A,24,100,125000,O.marina,2/13/24,NA,NA,NA,60286,27240,0,46546,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,0,Control,2/13/24,NA,NA,NA,741,684,1652,2963,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,25000,Control,2/13/24,NA,NA,NA,8261,8204,4899,10255,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,50000,Control,2/13/24,NA,NA,NA,8603,6438,0,8431,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,75000,Control,2/13/24,NA,NA,NA,8147,10939,8147,9971,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,100000,Control,2/13/24,NA,NA,NA,58627,57197,16921,56440,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,125000,Control,2/13/24,NA,NA,NA,46607,60967,29111,41131,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,0,O.marina,2/13/24,NA,NA,NA,2108,228,1197,7466,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,25000,O.marina,2/13/24,NA,NA,NA,5014,2336,2279,7294,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,50000,O.marina,2/13/24,NA,NA,NA,7694,2849,2849,6553,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,75000,O.marina,2/13/24,NA,NA,NA,15841,9857,4103,8547,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,100000,O.marina,2/13/24,NA,NA,NA,65413,26607,30826,50929,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,B,24,100,125000,O.marina,2/13/24,NA,NA,NA,52646,22503,18857,57197,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,0,Control,2/13/24,NA,NA,NA,456,513,513,4045,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,25000,Control,2/13/24,NA,NA,NA,6494,5925,3704,7975,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,50000,Control,2/13/24,NA,NA,NA,7520,6210,12078,9172,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,75000,Control,2/13/24,NA,NA,NA,20282,29910,21823,18800,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,100000,Control,2/13/24,NA,NA,NA,56857,46544,75652,79698,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,125000,Control,2/13/24,NA,NA,NA,47058,70271,80048,55716,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,0,O.marina,2/13/24,NA,NA,NA,1083,344,969,7466,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,25000,O.marina,2/13/24,NA,NA,NA,6324,2279,2451,7407,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,50000,O.marina,2/13/24,NA,NA,NA,5356,3134,3020,9003,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,75000,O.marina,2/13/24,NA,NA,NA,18746,5754,10141,16237,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,100000,O.marina,2/13/24,NA,NA,NA,53394,36863,45294,39881,NA,NA,NA,NA,NA,NA,,1
Y,Y,1150,C,24,100,125000,O.marina,2/13/24,NA,NA,NA,54477,31623,27972,45631,NA,NA,NA,NA,NA,NA,,1
,,1393,A,24,100,0,Control,2/13/24,NA,NA,NA,855,285,342,3191,NA,0,0,0,0,NA,MD,1
,,1393,A,24,100,25000,Control,2/13/24,NA,NA,NA,13786,36173,40792,18173,NA,0,0,0,0,NA,MD,1
,,1393,A,24,100,50000,Control,2/13/24,NA,NA,NA,40389,21931,54815,39652,NA,0,0,0,0,NA,MD,1
,,1393,A,24,100,75000,Control,2/13/24,NA,NA,NA,46029,63917,110415,53608,NA,0,0,0,0,NA,MD,1
,,1393,A,24,100,100000,Control,2/13/24,NA,NA,NA,57365,55997,87227,72973,NA,0,0,0,0,NA,MD,1
,,1393,A,24,100,125000,Control,2/13/24,NA,NA,NA,73430,99576,118409,140819,NA,0,0,0,0,NA,MD,1
,,1393,A,24,100,0,O.marina,2/13/24,NA,NA,NA,1197,627,2109,3363,NA,810,950,520,580,NA,MD,1
,,1393,A,24,100,25000,O.marina,2/13/24,NA,NA,NA,17720,8489,12592,45864,NA,610,910,690,870,NA,MD,1
,,1393,A,24,100,50000,O.marina,2/13/24,NA,NA,NA,45293,12249,15156,12534,NA,600,1110,770,670,NA,MD,1
,,1393,A,24,100,75000,O.marina,2/13/24,NA,NA,NA,42794,9628,23593,30310,NA,620,1290,940,1170,NA,MD,1
,,1393,A,24,100,100000,O.marina,2/13/24,NA,NA,NA,54471,20395,45242,30709,NA,630,920,1110,900,NA,MD,1
,,1393,A,24,100,125000,O.marina,2/13/24,NA,NA,NA,67912,47803,20344,36691,NA,630,940,1630,1175,NA,MD,1
,,1393,B,24,100,0,Control,2/13/24,NA,NA,NA,513,285,228,3646,NA,0,0,0,0,NA,MD,1
,,1393,B,24,100,25000,Control,2/13/24,NA,NA,NA,17091,20451,19824,19425,NA,0,0,0,0,NA,MD,1
,,1393,B,24,100,50000,Control,2/13/24,NA,NA,NA,54348,42496,43238,34862,NA,0,0,0,0,NA,MD,1
,,1393,B,24,100,75000,Control,2/13/24,NA,NA,NA,42782,108123,58059,40962,NA,0,0,0,0,NA,MD,1
,,1393,B,24,100,100000,Control,2/13/24,NA,NA,NA,67961,110285,58504,77815,NA,0,0,0,0,NA,MD,1
,,1393,B,24,100,125000,Control,2/13/24,NA,NA,NA,72803,77988,115359,167826,NA,0,0,0,0,NA,MD,1
,,1393,B,24,100,0,O.marina,2/13/24,NA,NA,NA,912,513,1140,4844,NA,610,690,810,360,NA,MD,1
,,1393,B,24,100,25000,O.marina,2/13/24,NA,NA,NA,9230,8433,22054,11338,NA,850,840,1210,890,NA,MD,1
,,1393,B,24,100,50000,O.marina,2/13/24,NA,NA,NA,22562,22961,6553,15212,NA,540,890,980,750,NA,MD,1
,,1393,B,24,100,75000,O.marina,2/13/24,NA,NA,NA,31451,6666,14360,25924,NA,530,980,970,1250,NA,MD,1
,,1393,B,24,100,100000,O.marina,2/13/24,NA,NA,NA,41363,8774,14928,16123,NA,630,1050,1230,980,NA,MD,1
,,1393,B,24,100,125000,O.marina,2/13/24,NA,NA,NA,78284,25695,8717,30654,NA,870,1150,1250,1140,NA,MD,1
,,1393,C,24,100,0,Control,2/13/24,NA,NA,NA,798,627,570,4900,NA,0,0,0,0,NA,MD,1
,,1393,C,24,100,25000,Control,2/13/24,NA,NA,NA,14356,9513,16122,53548,NA,0,0,0,0,NA,MD,1
,,1393,C,24,100,50000,Control,2/13/24,NA,NA,NA,29566,23982,35264,38908,NA,0,0,0,0,NA,MD,1
,,1393,C,24,100,75000,Control,2/13/24,NA,NA,NA,42952,38566,44149,81692,NA,0,0,0,0,NA,MD,1
,,1393,C,24,100,100000,Control,2/13/24,NA,NA,NA,70410,72063,72516,91770,NA,0,0,0,0,NA,MD,1
,,1393,C,24,100,125000,Control,2/13/24,NA,NA,NA,85508,118552,130624,218404,NA,0,0,0,0,NA,MD,1
,,1393,C,24,100,0,O.marina,2/13/24,NA,NA,NA,912,228,1140,4616,NA,530,630,650,590,NA,MD,1
,,1393,C,24,100,25000,O.marina,2/13/24,NA,NA,NA,10199,18119,8546,35502,NA,570,650,1113,930,NA,MD,1
,,1393,C,24,100,50000,O.marina,2/13/24,NA,NA,NA,21309,9913,10256,33220,NA,630,1020,980,1080,NA,MD,1
,,1393,C,24,100,75000,O.marina,2/13/24,NA,NA,NA,22561,12591,6609,16636,NA,620,1020,1020,1390,NA,MD,1
,,1393,C,24,100,100000,O.marina,2/13/24,NA,NA,NA,41648,12534,16011,22111,NA,620,690,1160,1280,NA,MD,1
,,1393,C,24,100,125000,O.marina,2/13/24,NA,NA,NA,63473,11964,11110,37719,NA,720,930,1490,1690,NA,MD,1
,,1392,A,24,100,0,Control,2/27/24,NA,NA,NA,540,342,342,3875,NA,0,0,0,0,NA,MD,1
,,1392,A,24,100,25000,Control,2/27/24,NA,NA,NA,12322,9572,15440,31963,NA,0,0,0,0,NA,MD,1
,,1392,A,24,100,50000,Control,2/27/24,NA,NA,NA,43617,40451,70739,77736,NA,0,0,0,0,NA,MD,1
,,1392,A,24,100,75000,Control,2/27/24,NA,NA,NA,73042,76486,68838,57092,NA,0,0,0,0,NA,MD,1
,,1392,A,24,100,100000,Control,2/27/24,NA,NA,NA,85229,85361,74696,85638,NA,0,0,0,0,NA,MD,1
,,1392,A,24,100,125000,Control,2/27/24,NA,NA,NA,122268,81721,72313,111282,NA,0,0,0,0,NA,MD,1
,,1392,A,24,100,0,O.marina,2/27/24,NA,NA,NA,2641,1140,798,6270,NA,730,620,590,550,NA,MD,1
,,1392,A,24,100,25000,O.marina,2/27/24,NA,NA,NA,13176,4616,3875,9004,NA,700,820,570,640,NA,MD,1
,,1392,A,24,100,50000,O.marina,2/27/24,NA,NA,NA,46806,24617,17549,21653,NA,830,640,820,1340,NA,MD,1
,,1392,A,24,100,75000,O.marina,2/27/24,NA,NA,NA,70411,47884,43775,29517,NA,890,990,1310,1550,NA,MD,1
,,1392,A,24,100,100000,O.marina,2/27/24,NA,NA,NA,91379,64961,25353,33848,NA,630,890,1160,1780,NA,MD,1
,,1392,A,24,100,125000,O.marina,2/27/24,NA,NA,NA,116273,79037,29057,26447,NA,880,880,1260,1790,NA,MD,1
,,1392,B,24,100,0,Control,2/27/24,NA,NA,NA,738,285,285,18294,NA,0,0,0,0,NA,MD,1
,,1392,B,24,100,25000,Control,2/27/24,NA,NA,NA,28252,42289,45639,38135,NA,0,0,0,0,NA,MD,1
,,1392,B,24,100,50000,Control,2/27/24,NA,NA,NA,46915,41828,35890,107462,NA,0,0,0,0,NA,MD,1
,,1392,B,24,100,75000,Control,2/27/24,NA,NA,NA,71567,54189,65084,115402,NA,0,0,0,0,NA,MD,1
,,1392,B,24,100,100000,Control,2/27/24,NA,NA,NA,102230,104492,85721,114071,NA,0,0,0,0,NA,MD,1
,,1392,B,24,100,125000,Control,2/27/24,NA,NA,NA,151421,132182,132527,226415,NA,0,0,0,0,NA,MD,1
,,1392,B,24,100,0,O.marina,2/27/24,NA,NA,NA,1761,741,1539,115945,NA,600,990,880,540,NA,MD,1
,,1392,B,24,100,25000,O.marina,2/27/24,NA,NA,NA,24479,12880,9746,110817,NA,470,1140,1320,590,NA,MD,1
,,1392,B,24,100,50000,O.marina,2/27/24,NA,NA,NA,45783,37334,19600,51626,NA,460,920,1120,1140,NA,MD,1
,,1392,B,24,100,75000,O.marina,2/27/24,NA,NA,NA,92359,25137,27176,62115,NA,650,880,1420,1650,NA,MD,1
,,1392,B,24,100,100000,O.marina,2/27/24,NA,NA,NA,89016,39941,30484,76493,NA,640,1320,1220,1620,NA,MD,1
,,1392,B,24,100,125000,O.marina,2/27/24,NA,NA,NA,99617,48100,34759,140641,NA,660,1090,1190,2730,NA,MD,1
,,1392,C,24,100,0,Control,2/27/24,NA,NA,NA,823,285,342,11796,NA,0,0,0,0,NA,MD,1
,,1392,C,24,100,25000,Control,2/27/24,NA,NA,NA,26974,26897,46850,46216,NA,0,0,0,0,NA,MD,1
,,1392,C,24,100,50000,Control,2/27/24,NA,NA,NA,25245,22562,23131,33731,NA,0,0,0,0,NA,MD,1
,,1392,C,24,100,75000,Control,2/27/24,NA,NA,NA,53356,58007,51280,58636,NA,0,0,0,0,NA,MD,1
,,1392,C,24,100,100000,Control,2/27/24,NA,NA,NA,103463,86996,118191,70477,NA,0,0,0,0,NA,MD,1
,,1392,C,24,100,125000,Control,2/27/24,NA,NA,NA,42929,38060,54482,38914,NA,0,0,0,0,NA,MD,1
,,1392,C,24,100,0,O.marina,2/27/24,NA,NA,NA,2613,3647,2679,174068,NA,1040,930,1280,1470,NA,MD,1
